,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Musharraf,155,./data/test/.\188.txt,1,155,False,100,0,False,False,1,False,False,True,False,False,False,False,False,False,False
1,Bush,162,./data/test/.\189.txt,1,162,False,100,0,False,False,1,False,False,True,False,False,False,False,False,False,False
2,Justice,88,./data/test/.\231.txt,1,88,False,100,0,False,False,1,False,False,True,False,False,False,False,False,False,False
3,Robin,52,./data/test/.\276.txt,1,52,False,4,0,False,False,1,False,False,True,False,False,False,False,False,False,False
4,Sir John,75,./data/test/.\034.txt,2,74,False,100,100,True,False,100,False,False,True,False,False,False,False,False,False,False
5,Sir John,344,./data/test/.\034.txt,2,343,False,1,1,True,False,100,False,False,True,False,False,False,False,False,False,False
6,Sir John,117,./data/test/.\076.txt,2,116,False,100,1,True,False,100,False,False,True,False,False,False,False,False,False,False
7,Constitutional Affairs,405,./data/test/.\079.txt,2,404,False,100,0,False,False,4,False,False,False,False,False,False,False,False,False,False
8,Sir John,129,./data/test/.\080.txt,2,128,False,5,100,True,False,1,False,False,True,False,False,False,False,False,False,False
9,Sir Menzies,444,./data/test/.\082.txt,2,443,False,100,1,True,False,100,False,False,True,False,False,False,False,False,False,False
10,Executive Maeve,524,./data/test/.\087.txt,2,523,False,100,100,False,False,1,False,False,True,False,False,False,False,False,False,False
11,Workers Union,32,./data/test/.\108.txt,2,31,False,100,1,False,False,1,False,False,True,False,False,False,False,False,False,False
12,Sir Archy,66,./data/test/.\116.txt,2,65,False,4,100,True,False,1,False,False,True,False,False,False,False,False,False,False
13,Mr Howard,168,./data/test/.\141.txt,2,167,False,3,0,True,False,100,False,False,False,False,False,False,True,False,False,False
14,Mr Howard,287,./data/test/.\141.txt,2,286,False,3,0,True,False,100,False,False,True,False,False,False,False,False,False,False
15,Mrs Hassan,201,./data/test/.\150.txt,2,200,False,1,100,True,False,100,False,False,False,False,False,False,False,False,False,False
16,Mr Livingstone,437,./data/test/.\154.txt,2,436,False,100,100,True,False,100,False,True,False,False,False,False,False,False,False,False
17,Mr Livingstone,61,./data/test/.\186.txt,2,60,False,100,0,True,False,100,False,False,False,False,False,False,False,False,False,False
